geoplugin_request,geoplugin_status,geoplugin_delay,geoplugin_credit,geoplugin_city,geoplugin_region,geoplugin_regionCode,geoplugin_regionName,geoplugin_areaCode,geoplugin_dmaCode,geoplugin_countryCode,geoplugin_countryName,geoplugin_inEU,geoplugin_euVATrate,geoplugin_continentCode,geoplugin_continentName,geoplugin_latitude,geoplugin_longitude,geoplugin_locationAccuracyRadius,geoplugin_timezone,geoplugin_currencyCode,geoplugin_currencySymbol,geoplugin_currencySymbol_UTF8,geoplugin_currencyConverter
100.11.170.135,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Philadelphia,Pennsylvania,PA,Pennsylvania,,504,US,United States,0,False,NA,North America,40.0558,-75.0773,1,America/New_York,USD,$,$,0.0
100.19.73.35,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Philadelphia,Pennsylvania,PA,Pennsylvania,,504,US,United States,0,False,NA,North America,40.0558,-75.0773,1,America/New_York,USD,$,$,0.0
100.35.67.162,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Jersey City,New Jersey,NJ,New Jersey,,501,US,United States,0,False,NA,North America,40.7182,-74.0476,1,America/New_York,USD,$,$,0.0
103.137.12.164,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Brisbane,Queensland,QLD,Queensland,,,AU,Australia,0,False,OC,Oceania,-27.4732,153.0215,1000,Australia/Brisbane,AUD,$,$,1.4533
104.1.46.153,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4873,-98.4532,10,America/Chicago,USD,$,$,0.0
104.10.49.137,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Richardson,Texas,TX,Texas,,623,US,United States,0,False,NA,North America,32.9636,-96.7468,5,America/Chicago,USD,$,$,0.0
104.129.18.241,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,1000,America/New_York,USD,$,$,0.0
104.129.196.183,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Chicago,Illinois,IL,Illinois,,602,US,United States,0,False,NA,North America,41.9017,-87.6563,500,America/Chicago,USD,$,$,0.0
104.129.24.36,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Atlanta,Georgia,GA,Georgia,,524,US,United States,0,False,NA,North America,33.7485,-84.3871,1000,America/New_York,USD,$,$,0.0
104.131.47.203,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Clifton,New Jersey,NJ,New Jersey,,501,US,United States,0,False,NA,North America,40.8364,-74.1403,1000,America/New_York,USD,$,$,0.0
